#1 
double myTable (1200,3) 
2183333.333333333,0.0007587268518518518,1.3241512345679008e-07
2200000.0,0.0007602777777777777,1.3444444444444444e-07
2216666.666666667,0.0007618287037037039,1.364891975308642e-07
2233333.333333333,0.0007633796296296298,1.3854938271604938e-07
2250000.0,0.0007649305555555557,1.4062500000000006e-07
2266666.666666666,0.0007664814814814816,1.4271604938271602e-07
2283333.333333333,0.0007680324074074075,1.4482253086419753e-07
2300000.0,0.0007695833333333334,1.4694444444444445e-07
2316666.666666666,0.0007711342592592593,1.490817901234568e-07
2333333.333333333,0.0007726851851851853,1.512345679012346e-07
2350000.0,0.0007742361111111113,1.5340277777777779e-07
2366666.666666666,0.0007757870370370371,1.555864197530864e-07
2383333.333333333,0.0007773379629629629,1.577854938271605e-07
2400000.0,0.0007788888888888889,1.6e-07
2416666.666666666,0.0007804398148148151,1.6222993827160493e-07
2433333.333333333,0.0007819907407407408,1.6447530864197532e-07
2450000.0,0.0007835416666666668,1.6673611111111108e-07
2466666.666666666,0.0007850925925925924,1.690123456790124e-07
2483333.333333333,0.0007866435185185187,1.71304012345679e-07
2500000.0,0.0007881944444444443,1.7361111111111115e-07
2516666.666666666,0.0007897453703703702,1.7593364197530864e-07
2533333.333333333,0.0007912962962962965,1.7827160493827165e-07
2550000.0,0.0007928472222222222,1.80625e-07
2566666.666666666,0.0007943981481481481,1.8299382716049388e-07
2583333.333333333,0.0007959490740740741,1.8537808641975308e-07
2600000.0,0.0007975000000000001,1.8777777777777783e-07
2616666.666666666,0.0007990509259259259,1.9019290123456788e-07
2633333.333333333,0.0008006018518518517,1.9262345679012343e-07
2650000.0,0.0008021527777777777,1.950694444444445e-07
2666666.666666666,0.0008037037037037037,1.9753086419753087e-07
2683333.333333333,0.0008052546296296296,2.0000771604938266e-07
2700000.0,0.0008068055555555557,2.025e-07
2716666.666666666,0.0008083564814814815,2.0500771604938274e-07
2733333.333333333,0.0008099074074074075,2.0753086419753085e-07
2750000.0,0.0008114583333333334,2.1006944444444448e-07
2766666.666666666,0.0008130092592592593,2.1262345679012347e-07
2783333.333333333,0.0008145601851851852,2.1519290123456788e-07
2800000.0000000005,0.0008161111111111112,2.177777777777778e-07
2816666.666666667,0.000817662037037037,2.2037808641975312e-07
2833333.333333333,0.000819212962962963,2.229938271604938e-07
2849999.9999999995,0.0008207638888888892,2.25625e-07
2866666.666666667,0.0008223148148148149,2.2827160493827162e-07
2883333.333333333,0.0008238657407407407,2.309336419753086e-07
2900000.0,0.0008254166666666668,2.3361111111111113e-07
2916666.666666667,0.0008269675925925928,2.3630401234567906e-07
2933333.333333333,0.0008285185185185187,2.3901234567901237e-07
2950000.0,0.0008300694444444444,2.417361111111111e-07
2966666.666666667,0.0008316203703703704,2.444753086419753e-07
2983333.333333333,0.0008331712962962964,2.472299382716049e-07
3000000.0,0.0008347222222222223,2.5e-07
3016666.666666667,0.0008362731481481483,2.527854938271605e-07
3033333.333333333,0.0008378240740740742,2.555864197530864e-07
3050000.0,0.0008393750000000001,2.5840277777777784e-07
3066666.666666666,0.000840925925925926,2.612345679012345e-07
